tripid,stationid,city,truckid,truck,date,wastetons
114134,40,Brasilia,137,Volvo,2020-01-01,31.86
114133,40,Brasilia,134,Scania,2020-01-01,40.72
114132,40,Brasilia,135,Volvo,2020-01-01,33.08
114131,46,Brasilia,161,Volvo,2020-01-01,37.99
114130,46,Brasilia,162,Scania,2020-01-01,37.59
114129,43,Brasilia,143,Volvo,2020-01-01,33.28
114128,43,Brasilia,145,Volvo,2020-01-01,31.10
114127,46,Brasilia,162,Scania,2020-01-01,40.66
114126,46,Brasilia,162,Scania,2020-01-01,41.53
114125,77,Brasilia,152,Scania,2020-01-01,42.39
114124,40,Brasilia,136,Scania,2020-01-01,41.31
114123,97,Brasilia,122,Scania,2020-01-01,41.19
114122,40,Brasilia,136,Scania,2020-01-01,32.83
114121,40,Brasilia,134,Scania,2020-01-01,42.19
114120,77,Brasilia,152,Scania,2020-01-01,42.58
114119,97,Brasilia,120,Scania,2020-01-01,35.18
114118,43,Brasilia,145,Volvo,2020-01-01,43.96
114117,43,Brasilia,143,Volvo,2020-01-01,44.31
114116,77,Brasilia,152,Scania,2020-01-01,35.20
114115,43,Brasilia,145,Volvo,2020-01-01,33.04
114114,40,Brasilia,136,Scania,2020-01-01,30.01
114113,40,Brasilia,134,Scania,2020-01-01,44.75
114112,43,Brasilia,144,Scania,2020-01-01,32.42
114111,77,Brasilia,152,Scania,2020-01-01,44.48
114110,43,Brasilia,145,Volvo,2020-01-01,30.03
114109,77,Brasilia,157,Volvo,2020-01-01,38.19
114108,46,Brasilia,168,Scania,2020-01-01,42.83
114107,77,Brasilia,152,Scania,2020-01-01,34.75
114106,77,Brasilia,150,Scania,2020-01-01,32.78
114105,40,Brasilia,134,Scania,2020-01-01,34.67
114104,97,Brasilia,115,Volvo,2020-01-01,31.36
114103,46,Brasilia,169,Volvo,2020-01-01,31.36
114102,71,Brasilia,130,Scania,2020-01-01,36.80
114101,97,Brasilia,115,Volvo,2020-01-01,36.90
114100,97,Brasilia,120,Scania,2020-01-01,37.24
114099,43,Brasilia,143,Volvo,2020-01-01,36.30
114098,77,Brasilia,157,Volvo,2020-01-01,34.35
114097,77,Brasilia,160,Scania,2020-01-01,39.04
114096,40,Brasilia,134,Scania,2020-01-01,30.81
114095,97,Brasilia,122,Scania,2020-01-01,39.35
114094,40,Brasilia,135,Volvo,2020-01-01,41.48
114093,43,Brasilia,145,Volvo,2020-01-01,35.65
114092,71,Brasilia,126,Scania,2020-01-01,38.32
114091,71,Brasilia,126,Scania,2020-01-01,36.93
114090,71,Brasilia,126,Scania,2020-01-01,34.08
114089,77,Brasilia,160,Scania,2020-01-01,37.40
114088,40,Brasilia,136,Scania,2020-01-01,30.04
114087,77,Brasilia,150,Scania,2020-01-01,42.72
114086,40,Brasilia,135,Volvo,2020-01-01,37.45
114085,40,Brasilia,137,Volvo,2020-01-01,34.03
114083,97,Brasilia,120,Scania,2020-01-01,43.31
114082,43,Brasilia,144,Scania,2020-01-01,32.19
114081,71,Brasilia,125,Volvo,2020-01-01,41.92
114080,77,Brasilia,152,Scania,2020-01-01,43.45
114079,40,Brasilia,135,Volvo,2020-01-01,36.01
114078,71,Brasilia,130,Scania,2020-01-01,35.67
114077,40,Brasilia,135,Volvo,2020-01-01,32.43
114076,97,Brasilia,122,Scania,2020-01-01,31.66
114075,97,Brasilia,122,Scania,2020-01-01,34.72
114074,46,Brasilia,169,Volvo,2020-01-01,31.15
114073,77,Brasilia,160,Scania,2020-01-01,44.96
114072,43,Brasilia,148,Scania,2020-01-01,43.26
114071,77,Brasilia,150,Scania,2020-01-01,40.27
114070,77,Brasilia,150,Scania,2020-01-01,40.16
114069,40,Brasilia,137,Volvo,2020-01-01,34.79
114068,43,Brasilia,145,Volvo,2020-01-01,40.82
114067,71,Brasilia,126,Scania,2020-01-01,33.22
114370,86,Rio de Janeiro,251,Volvo,2020-01-01,41.21
114369,31,Rio de Janeiro,280,Scania,2020-01-01,36.09
114368,57,Rio de Janeiro,270,Scania,2020-01-01,30.93
114367,31,Rio de Janeiro,280,Scania,2020-01-01,41.99
114366,31,Rio de Janeiro,276,Scania,2020-01-01,44.62
114365,44,Rio de Janeiro,297,Volvo,2020-01-01,30.27
114364,86,Rio de Janeiro,251,Volvo,2020-01-01,33.14
114363,86,Rio de Janeiro,255,Volvo,2020-01-01,38.58
114362,44,Rio de Janeiro,298,Scania,2020-01-01,37.57
114361,57,Rio de Janeiro,274,Scania,2020-01-01,30.38
114360,32,Rio de Janeiro,290,Scania,2020-01-01,39.54
114359,32,Rio de Janeiro,286,Scania,2020-01-01,42.12
114358,32,Rio de Janeiro,290,Scania,2020-01-01,36.62
114357,44,Rio de Janeiro,297,Volvo,2020-01-01,32.14
114356,44,Rio de Janeiro,297,Volvo,2020-01-01,42.08
114355,32,Rio de Janeiro,290,Scania,2020-01-01,36.88
114354,57,Rio de Janeiro,274,Scania,2020-01-01,32.16
114353,44,Rio de Janeiro,301,Volvo,2020-01-01,31.17
114352,57,Rio de Janeiro,274,Scania,2020-01-01,37.54
114351,44,Rio de Janeiro,301,Volvo,2020-01-01,37.40
114350,44,Rio de Janeiro,297,Volvo,2020-01-01,31.53
114349,86,Rio de Janeiro,257,Volvo,2020-01-01,36.33
114348,44,Rio de Janeiro,301,Volvo,2020-01-01,39.61
114347,31,Rio de Janeiro,277,Volvo,2020-01-01,41.33
114346,44,Rio de Janeiro,298,Scania,2020-01-01,36.45
114345,84,Rio de Janeiro,266,Scania,2020-01-01,41.62
114344,84,Rio de Janeiro,265,Volvo,2020-01-01,41.07
114343,32,Rio de Janeiro,286,Scania,2020-01-01,42.75
114342,44,Rio de Janeiro,298,Scania,2020-01-01,30.74
114341,57,Rio de Janeiro,275,Volvo,2020-01-01,42.40
114340,44,Rio de Janeiro,297,Volvo,2020-01-01,38.03
114339,84,Rio de Janeiro,265,Volvo,2020-01-01,30.61
114338,44,Rio de Janeiro,299,Volvo,2020-01-01,42.86
114337,31,Rio de Janeiro,276,Scania,2020-01-01,31.10
114336,32,Rio de Janeiro,286,Scania,2020-01-01,34.06
114335,31,Rio de Janeiro,277,Volvo,2020-01-01,44.49
114334,44,Rio de Janeiro,301,Volvo,2020-01-01,39.78
114333,57,Rio de Janeiro,274,Scania,2020-01-01,43.57
114332,32,Rio de Janeiro,291,Volvo,2020-01-01,39.22
114331,57,Rio de Janeiro,270,Scania,2020-01-01,33.95
114330,32,Rio de Janeiro,290,Scania,2020-01-01,43.94
114329,44,Rio de Janeiro,301,Volvo,2020-01-01,30.99
114328,31,Rio de Janeiro,283,Volvo,2020-01-01,38.73
114327,31,Rio de Janeiro,277,Volvo,2020-01-01,30.79
114326,32,Rio de Janeiro,291,Volvo,2020-01-01,33.51
114325,57,Rio de Janeiro,270,Scania,2020-01-01,31.31
114324,84,Rio de Janeiro,266,Scania,2020-01-01,37.41
114323,57,Rio de Janeiro,270,Scania,2020-01-01,41.66
114322,57,Rio de Janeiro,272,Scania,2020-01-01,39.06
114321,31,Rio de Janeiro,276,Scania,2020-01-01,43.66
114320,31,Rio de Janeiro,277,Volvo,2020-01-01,38.06
114319,86,Rio de Janeiro,257,Volvo,2020-01-01,42.93
114318,44,Rio de Janeiro,298,Scania,2020-01-01,31.69
114317,44,Rio de Janeiro,297,Volvo,2020-01-01,39.57
114316,86,Rio de Janeiro,251,Volvo,2020-01-01,38.08
114315,84,Rio de Janeiro,266,Scania,2020-01-01,35.93
114314,84,Rio de Janeiro,262,Scania,2020-01-01,34.66
114313,57,Rio de Janeiro,274,Scania,2020-01-01,31.80
114312,31,Rio de Janeiro,277,Volvo,2020-01-01,43.26
114311,31,Rio de Janeiro,276,Scania,2020-01-01,35.29
114310,57,Rio de Janeiro,272,Scania,2020-01-01,39.49
114309,31,Rio de Janeiro,277,Volvo,2020-01-01,37.19
114308,31,Rio de Janeiro,283,Volvo,2020-01-01,34.95
114307,44,Rio de Janeiro,297,Volvo,2020-01-01,30.23
114306,57,Rio de Janeiro,272,Scania,2020-01-01,30.20
114305,31,Rio de Janeiro,283,Volvo,2020-01-01,43.16
114304,86,Rio de Janeiro,255,Volvo,2020-01-01,41.81
114303,32,Rio de Janeiro,291,Volvo,2020-01-01,43.15
114302,86,Rio de Janeiro,251,Volvo,2020-01-01,43.05
114301,32,Rio de Janeiro,291,Volvo,2020-01-01,34.95
114300,31,Rio de Janeiro,276,Scania,2020-01-01,32.14
114299,57,Rio de Janeiro,272,Scania,2020-01-01,36.76
114298,32,Rio de Janeiro,286,Scania,2020-01-01,39.53
114297,57,Rio de Janeiro,274,Scania,2020-01-01,36.05
114296,44,Rio de Janeiro,299,Volvo,2020-01-01,35.30
114295,84,Rio de Janeiro,261,Volvo,2020-01-01,43.84
114294,83,Sao Paulo,217,Volvo,2020-01-01,41.18
114293,83,Sao Paulo,217,Volvo,2020-01-01,43.16
114292,21,Sao Paulo,245,Volvo,2020-01-01,32.11
114291,19,Sao Paulo,230,Scania,2020-01-01,42.64
114290,19,Sao Paulo,232,Scania,2020-01-01,44.75
114289,83,Sao Paulo,229,Volvo,2020-01-01,32.26
114288,19,Sao Paulo,232,Scania,2020-01-01,31.93
114287,21,Sao Paulo,244,Scania,2020-01-01,31.70
114286,19,Sao Paulo,233,Volvo,2020-01-01,39.84
114285,19,Sao Paulo,230,Scania,2020-01-01,38.69
114284,83,Sao Paulo,217,Volvo,2020-01-01,44.39
114283,19,Sao Paulo,238,Scania,2020-01-01,37.88
114282,21,Sao Paulo,246,Scania,2020-01-01,31.70
114281,83,Sao Paulo,217,Volvo,2020-01-01,42.16
114280,19,Sao Paulo,232,Scania,2020-01-01,35.43
114279,21,Sao Paulo,245,Volvo,2020-01-01,37.74
114278,83,Sao Paulo,229,Volvo,2020-01-01,31.70
114277,21,Sao Paulo,244,Scania,2020-01-01,40.76
114276,19,Sao Paulo,233,Volvo,2020-01-01,34.75
114275,83,Sao Paulo,217,Volvo,2020-01-01,38.14
114274,19,Sao Paulo,238,Scania,2020-01-01,38.84
114273,83,Sao Paulo,217,Volvo,2020-01-01,38.38
114272,21,Sao Paulo,240,Scania,2020-01-01,44.04
114271,19,Sao Paulo,238,Scania,2020-01-01,40.39
114270,83,Sao Paulo,217,Volvo,2020-01-01,44.90
114269,21,Sao Paulo,246,Scania,2020-01-01,37.06
114268,19,Sao Paulo,233,Volvo,2020-01-01,39.79
114267,21,Sao Paulo,246,Scania,2020-01-01,30.74
114266,83,Sao Paulo,229,Volvo,2020-01-01,33.71
114265,21,Sao Paulo,244,Scania,2020-01-01,33.34
114264,21,Sao Paulo,240,Scania,2020-01-01,38.23
114263,21,Sao Paulo,240,Scania,2020-01-01,32.08
114262,83,Sao Paulo,229,Volvo,2020-01-01,43.63
114261,83,Sao Paulo,217,Volvo,2020-01-01,44.24
114260,21,Sao Paulo,245,Volvo,2020-01-01,31.87
114259,19,Sao Paulo,233,Volvo,2020-01-01,31.61
114258,21,Sao Paulo,244,Scania,2020-01-01,42.54
114257,83,Sao Paulo,229,Volvo,2020-01-01,31.63
114256,83,Sao Paulo,217,Volvo,2020-01-01,38.33
114255,83,Sao Paulo,229,Volvo,2020-01-01,35.55
114254,19,Sao Paulo,230,Scania,2020-01-01,34.20
114253,83,Sao Paulo,229,Volvo,2020-01-01,43.44
114252,83,Sao Paulo,229,Volvo,2020-01-01,39.14
114251,21,Sao Paulo,244,Scania,2020-01-01,40.48
114250,19,Sao Paulo,230,Scania,2020-01-01,37.62
114249,21,Sao Paulo,244,Scania,2020-01-01,36.56
114248,21,Sao Paulo,246,Scania,2020-01-01,35.15
114247,83,Sao Paulo,217,Volvo,2020-01-01,34.18
114246,19,Sao Paulo,233,Volvo,2020-01-01,40.19
114245,21,Sao Paulo,245,Volvo,2020-01-01,44.14
114244,19,Sao Paulo,233,Volvo,2020-01-01,33.63
114243,19,Sao Paulo,230,Scania,2020-01-01,40.32
114242,21,Sao Paulo,246,Scania,2020-01-01,38.12
114241,21,Sao Paulo,244,Scania,2020-01-01,32.24
114240,19,Sao Paulo,230,Scania,2020-01-01,34.33
114239,19,Sao Paulo,238,Scania,2020-01-01,43.84
114238,21,Sao Paulo,244,Scania,2020-01-01,35.36
114237,19,Sao Paulo,233,Volvo,2020-01-01,39.42
114236,19,Sao Paulo,233,Volvo,2020-01-01,39.44
114235,19,Sao Paulo,232,Scania,2020-01-01,33.75
114234,21,Sao Paulo,244,Scania,2020-01-01,32.51
114233,21,Sao Paulo,240,Scania,2020-01-01,35.84
114232,21,Sao Paulo,246,Scania,2020-01-01,40.21
114231,83,Sao Paulo,217,Volvo,2020-01-01,33.20
114230,19,Sao Paulo,230,Scania,2020-01-01,42.43
114229,21,Sao Paulo,244,Scania,2020-01-01,33.00
114228,19,Sao Paulo,232,Scania,2020-01-01,42.83
114227,21,Sao Paulo,240,Scania,2020-01-01,39.54
114226,19,Sao Paulo,232,Scania,2020-01-01,41.56
114225,19,Sao Paulo,238,Scania,2020-01-01,35.32
114224,21,Sao Paulo,240,Scania,2020-01-01,35.40
114223,21,Sao Paulo,244,Scania,2020-01-01,34.42
114222,19,Sao Paulo,230,Scania,2020-01-01,43.39
23722,57,Rio de Janeiro,270,Scania,2019-03-09,30.31
23475,71,Brasilia,133,Volvo,2019-03-09,33.36
23721,31,Rio de Janeiro,276,Scania,2019-03-09,44.85
23720,84,Rio de Janeiro,266,Scania,2019-03-09,30.34
23719,44,Rio de Janeiro,299,Volvo,2019-03-09,39.18
23718,32,Rio de Janeiro,286,Scania,2019-03-09,41.79
23717,84,Rio de Janeiro,266,Scania,2019-03-09,39.60
23716,31,Rio de Janeiro,283,Volvo,2019-03-09,40.02
23715,57,Rio de Janeiro,275,Volvo,2019-03-09,35.74
23714,31,Rio de Janeiro,277,Volvo,2019-03-09,31.59
23713,84,Rio de Janeiro,266,Scania,2019-03-09,34.12
23712,44,Rio de Janeiro,299,Volvo,2019-03-09,33.03
23711,32,Rio de Janeiro,290,Scania,2019-03-09,41.75
23710,57,Rio de Janeiro,275,Volvo,2019-03-09,30.51
23709,84,Rio de Janeiro,262,Scania,2019-03-09,38.67
23708,84,Rio de Janeiro,265,Volvo,2019-03-09,36.62
23707,31,Rio de Janeiro,277,Volvo,2019-03-09,40.07
23706,32,Rio de Janeiro,291,Volvo,2019-03-09,35.26
23705,57,Rio de Janeiro,275,Volvo,2019-03-09,33.81
23704,44,Rio de Janeiro,301,Volvo,2019-03-09,40.98
23703,57,Rio de Janeiro,274,Scania,2019-03-09,39.83
23702,19,Sao Paulo,238,Scania,2019-03-09,33.70
23701,83,Sao Paulo,217,Volvo,2019-03-09,40.68
23700,83,Sao Paulo,229,Volvo,2019-03-09,35.95
23699,19,Sao Paulo,233,Volvo,2019-03-09,40.52
23698,19,Sao Paulo,232,Scania,2019-03-09,40.62
23697,21,Sao Paulo,240,Scania,2019-03-09,39.11
23696,83,Sao Paulo,217,Volvo,2019-03-09,32.05
23695,19,Sao Paulo,233,Volvo,2019-03-09,43.32
23694,21,Sao Paulo,245,Volvo,2019-03-09,30.59
23693,83,Sao Paulo,217,Volvo,2019-03-09,30.15
23692,21,Sao Paulo,244,Scania,2019-03-09,42.60
23691,19,Sao Paulo,230,Scania,2019-03-09,43.57
23690,83,Sao Paulo,217,Volvo,2019-03-09,39.23
23689,19,Sao Paulo,232,Scania,2019-03-09,42.55
23688,19,Sao Paulo,233,Volvo,2019-03-09,41.76
23687,83,Sao Paulo,217,Volvo,2019-03-09,31.50
23686,21,Sao Paulo,246,Scania,2019-03-09,32.08
23685,19,Sao Paulo,230,Scania,2019-03-09,42.29
23684,83,Sao Paulo,217,Volvo,2019-03-09,32.80
23683,21,Sao Paulo,245,Volvo,2019-03-09,38.74
23682,21,Sao Paulo,244,Scania,2019-03-09,36.82
23681,83,Sao Paulo,229,Volvo,2019-03-09,35.88
23680,21,Sao Paulo,245,Volvo,2019-03-09,39.50
23679,83,Sao Paulo,229,Volvo,2019-03-09,35.78
23678,19,Sao Paulo,230,Scania,2019-03-09,42.43
23677,19,Sao Paulo,232,Scania,2019-03-09,44.10
23676,19,Sao Paulo,232,Scania,2019-03-09,44.49
23675,83,Sao Paulo,229,Volvo,2019-03-09,30.79
23674,19,Sao Paulo,232,Scania,2019-03-09,30.13
23673,19,Sao Paulo,238,Scania,2019-03-09,30.96
23672,21,Sao Paulo,240,Scania,2019-03-09,42.53
23671,21,Sao Paulo,246,Scania,2019-03-09,34.92
23670,19,Sao Paulo,233,Volvo,2019-03-09,39.59
23669,83,Sao Paulo,217,Volvo,2019-03-09,30.63
23668,19,Sao Paulo,238,Scania,2019-03-09,32.33
23667,19,Sao Paulo,238,Scania,2019-03-09,38.73
23666,19,Sao Paulo,238,Scania,2019-03-09,39.91
23665,83,Sao Paulo,217,Volvo,2019-03-09,38.07
23664,21,Sao Paulo,244,Scania,2019-03-09,32.35
23663,83,Sao Paulo,217,Volvo,2019-03-09,36.97
23662,19,Sao Paulo,230,Scania,2019-03-09,42.31
23661,19,Sao Paulo,233,Volvo,2019-03-09,37.43
23660,19,Sao Paulo,232,Scania,2019-03-09,33.51
23659,19,Sao Paulo,233,Volvo,2019-03-09,35.89
23658,21,Sao Paulo,244,Scania,2019-03-09,35.51
23657,19,Sao Paulo,232,Scania,2019-03-09,44.57
23656,21,Sao Paulo,240,Scania,2019-03-09,44.10
23655,21,Sao Paulo,245,Volvo,2019-03-09,31.73
23654,83,Sao Paulo,217,Volvo,2019-03-09,37.35
23653,83,Sao Paulo,229,Volvo,2019-03-09,33.62
23652,83,Sao Paulo,229,Volvo,2019-03-09,42.37
23651,21,Sao Paulo,246,Scania,2019-03-09,35.76
23650,21,Sao Paulo,244,Scania,2019-03-09,35.87
23649,21,Sao Paulo,245,Volvo,2019-03-09,30.75
23648,21,Sao Paulo,245,Volvo,2019-03-09,34.39
23647,19,Sao Paulo,230,Scania,2019-03-09,44.44
23646,21,Sao Paulo,240,Scania,2019-03-09,35.00
23645,19,Sao Paulo,238,Scania,2019-03-09,40.38
23644,83,Sao Paulo,229,Volvo,2019-03-09,34.64
23643,19,Sao Paulo,238,Scania,2019-03-09,42.59
23642,21,Sao Paulo,244,Scania,2019-03-09,39.65
23641,19,Sao Paulo,233,Volvo,2019-03-09,38.72
23640,19,Sao Paulo,238,Scania,2019-03-09,38.69
23639,83,Sao Paulo,229,Volvo,2019-03-09,42.90
23638,19,Sao Paulo,233,Volvo,2019-03-09,40.67
23637,21,Sao Paulo,246,Scania,2019-03-09,31.70
23636,21,Sao Paulo,244,Scania,2019-03-09,43.01
23635,19,Sao Paulo,233,Volvo,2019-03-09,43.93
23634,83,Sao Paulo,217,Volvo,2019-03-09,42.85
23633,83,Sao Paulo,229,Volvo,2019-03-09,43.76
23632,83,Sao Paulo,229,Volvo,2019-03-09,35.37
23631,19,Sao Paulo,230,Scania,2019-03-09,30.14
23630,21,Sao Paulo,245,Volvo,2019-03-09,30.02
23629,21,Sao Paulo,240,Scania,2019-03-09,34.46
23628,19,Sao Paulo,238,Scania,2019-03-09,37.73
23627,83,Sao Paulo,229,Volvo,2019-03-09,44.00
23626,82,Salvador,213,Volvo,2019-03-09,35.55
23625,47,Salvador,179,Volvo,2019-03-09,44.79
23624,82,Salvador,211,Volvo,2019-03-09,31.95
23623,48,Salvador,188,Scania,2019-03-09,31.75
23622,48,Salvador,182,Scania,2019-03-09,41.93
23621,47,Salvador,178,Scania,2019-03-09,38.90
23620,48,Salvador,184,Scania,2019-03-09,44.39
23619,82,Salvador,211,Volvo,2019-03-09,40.26
23618,81,Salvador,191,Volvo,2019-03-09,35.82
23617,48,Salvador,184,Scania,2019-03-09,40.71
23616,82,Salvador,211,Volvo,2019-03-09,35.71
23615,48,Salvador,182,Scania,2019-03-09,44.36
23614,82,Salvador,211,Volvo,2019-03-09,33.16
23613,47,Salvador,170,Scania,2019-03-09,42.16
23612,81,Salvador,191,Volvo,2019-03-09,40.45
23611,82,Salvador,211,Volvo,2019-03-09,43.73
23610,82,Salvador,211,Volvo,2019-03-09,34.46
23609,47,Salvador,179,Volvo,2019-03-09,34.85
23608,81,Salvador,192,Scania,2019-03-09,42.08
23607,81,Salvador,198,Scania,2019-03-09,31.53
23606,81,Salvador,198,Scania,2019-03-09,36.67
23605,48,Salvador,188,Scania,2019-03-09,35.32
23604,81,Salvador,198,Scania,2019-03-09,42.79
23603,48,Salvador,188,Scania,2019-03-09,39.95
23602,48,Salvador,182,Scania,2019-03-09,37.61
23601,82,Salvador,211,Volvo,2019-03-09,33.79
23600,82,Salvador,213,Volvo,2019-03-09,44.25
23599,47,Salvador,170,Scania,2019-03-09,44.34
23598,47,Salvador,170,Scania,2019-03-09,40.93
23597,48,Salvador,184,Scania,2019-03-09,39.97
23596,47,Salvador,178,Scania,2019-03-09,42.50
23595,47,Salvador,179,Volvo,2019-03-09,37.30
23594,48,Salvador,184,Scania,2019-03-09,32.19
23593,82,Salvador,211,Volvo,2019-03-09,44.54
23592,81,Salvador,194,Scania,2019-03-09,37.87
23591,82,Salvador,211,Volvo,2019-03-09,44.65
23590,48,Salvador,184,Scania,2019-03-09,30.72
23589,82,Salvador,213,Volvo,2019-03-09,40.62
23588,47,Salvador,170,Scania,2019-03-09,31.00
23587,81,Salvador,198,Scania,2019-03-09,41.44
23586,81,Salvador,194,Scania,2019-03-09,32.78
23585,81,Salvador,198,Scania,2019-03-09,36.53
23584,81,Salvador,191,Volvo,2019-03-09,31.85
23583,82,Salvador,213,Volvo,2019-03-09,36.72
23582,47,Salvador,170,Scania,2019-03-09,39.75
23581,47,Salvador,179,Volvo,2019-03-09,36.09
23580,48,Salvador,188,Scania,2019-03-09,43.57
23579,48,Salvador,189,Volvo,2019-03-09,30.36
23578,48,Salvador,188,Scania,2019-03-09,41.92
23577,47,Salvador,178,Scania,2019-03-09,41.20
23576,47,Salvador,178,Scania,2019-03-09,40.28
23575,82,Salvador,211,Volvo,2019-03-09,39.86
23574,81,Salvador,194,Scania,2019-03-09,42.58
23573,48,Salvador,184,Scania,2019-03-09,40.16
23572,47,Salvador,179,Volvo,2019-03-09,34.29
23571,81,Salvador,198,Scania,2019-03-09,31.24
23570,82,Salvador,211,Volvo,2019-03-09,30.02
23569,48,Salvador,188,Scania,2019-03-09,37.18
23568,82,Salvador,211,Volvo,2019-03-09,36.39
23567,81,Salvador,191,Volvo,2019-03-09,33.05
23566,48,Salvador,189,Volvo,2019-03-09,32.93
23565,82,Salvador,211,Volvo,2019-03-09,40.71
23564,48,Salvador,189,Volvo,2019-03-09,31.40
23563,82,Salvador,211,Volvo,2019-03-09,43.04
23562,47,Salvador,170,Scania,2019-03-09,30.77
23561,48,Salvador,184,Scania,2019-03-09,30.27
23560,81,Salvador,192,Scania,2019-03-09,34.84
23559,48,Salvador,184,Scania,2019-03-09,37.60
23558,48,Salvador,188,Scania,2019-03-09,37.74
23557,82,Salvador,213,Volvo,2019-03-09,42.04
